codigo,descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,quantidade_median,quantidade_q1,quantidade_q3,frequencia_relativa
9836,8244 BR ARANDELA P/1LAMP E27 LENTE TRANS,42,3.5,13.0,1,12,9.000000000000002,11,3.0000000000000004,12,2.5,2.0,4.25,0.0035
9837,8244 PR ARANDELA P/1LAMP E27 LENTE TRANS,161,4.472222222222222,19.0,1,22,23.684920634920637,21,4.86671559009982,36,2.0,2.0,5.25,0.0105
9838,8244 MR ARANDELA P/1LAMP E27 LENTE TRANS,44,4.4,18.0,1,15,20.48888888888889,14,4.526465385804788,10,2.0,2.0,6.5,0.0029
9840,8323 PR ARANDELA P/1 LAMP E27 LENTE TRAN,13,6.5,30.0,1,12,60.5,11,7.7781745930520225,2,6.5,3.75,9.25,0.0006
9868,8117 MR POSTE C/TUBO AL P/2 LAMP E27,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0003
9923,8426 BR BALIZADOR P/JD E MURO P/1 LAMP ,7,2.3333333333333335,7.0,1,4,2.3333333333333335,3,1.5275252316519468,3,2.0,1.5,3.0,0.0009
9924,8426 PR BALIZADOR P/JD E MURO P/1 LAMP,76,4.470588235294118,10.0,1,6,3.2647058823529416,5,1.8068497121656084,17,5.0,3.0,6.0,0.0049
9924,8426 PR BALIZADOR P/JD E MURO P/1 LAMP ,67,3.0454545454545454,11.0,1,12,7.56926406926407,11,2.7512295559011557,22,2.0,2.0,3.0,0.0064
9925,8426 MR BALIZADOR P/JD E MURO P/1 LAMP ,25,5.0,17.0,2,10,17.0,8,4.123105625617661,5,2.0,2.0,9.0,0.0015
9933,8147 PR BALIZADOR L/C P/JD E MURO P/1LAM,18,3.6,21.0,1,14,33.8,13,5.813776741499453,5,1.0,1.0,1.0,0.0015
9935,8150 BR BALIZADOR L/F P/JD E MURO P/1LAM,28,2.3333333333333335,7.0,1,7,2.7878787878787876,6,1.6696942198734437,12,2.0,1.75,2.0,0.0035
9936,8150 PR BALIZADOR L/F P/JD E MURO P/1LAM,189,3.5660377358490565,18.0,1,32,22.058055152394772,31,4.696600382446304,53,2.0,2.0,3.0,0.0154
9937,8150 MR BALIZADOR L/F P/JD E MURO P/1LAM,10,1.4285714285714286,3.0,1,2,0.28571428571428575,1,0.5345224838248488,7,1.0,1.0,2.0,0.002
9938,8151 BR BALIZADOR L/C P/JD E MURO P/1LAM,28,3.5,11.0,1,9,6.0,8,2.449489742783178,8,3.0,2.0,4.0,0.0023
9939,8151 PR BALIZADOR L/C P/JD E MURO P/1LAM,159,2.789473684210526,9.0,1,12,3.883458646616542,11,1.9706492956933108,57,2.0,2.0,3.0,0.0166
9940,8151 MR BALIZADOR L/C P/JD E MURO P/1LAM,23,3.2857142857142856,13.0,1,10,9.571428571428571,9,3.093772546815388,7,2.0,2.0,3.0,0.002
