codigo,descricao,quantidade,soma,frequencia,frequencia_relativa
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP ,10,10,1,0.0345
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,1,9,9,0.2093
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,2,20,10,0.2326
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,3,6,2,0.0465
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,4,16,4,0.093
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,5,25,5,0.1163
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,6,6,1,0.0233
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,7,14,2,0.0465
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,8,8,1,0.0233
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,10,10,1,0.0233
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,12,24,2,0.0465
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP ,1,2,2,0.0465
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP ,2,4,2,0.0465
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP ,5,5,1,0.0233
4520,8320 PR ARANDELA REDONDA INJ P/ 1 LAMP ,6,6,1,0.0233
4525,8340 PR PENDENTE INJ P/ 1 LAMP ,2,2,1,0.5
4525,8340 PR PENDENTE INJ P/ 1 LAMP ,6,6,1,0.5
4529,8343 PR ARANDELA INJ P/ 1 LAMP ,1,1,1,0.1
4529,8343 PR ARANDELA INJ P/ 1 LAMP ,2,8,4,0.4
4529,8343 PR ARANDELA INJ P/ 1 LAMP ,3,3,1,0.1
4529,8343 PR ARANDELA INJ P/ 1 LAMP ,4,4,1,0.1
4529,8343 PR ARANDELA INJ P/ 1 LAMP ,5,5,1,0.1
4529,8343 PR ARANDELA INJ P/ 1 LAMP ,6,6,1,0.1
4529,8343 PR ARANDELA INJ P/ 1 LAMP ,8,8,1,0.1
4530,8343 BR ARANDELA INJ P/ 1 LAMP ,2,2,1,0.3333
4530,8343 BR ARANDELA INJ P/ 1 LAMP ,3,3,1,0.3333
